FALSE,入稿実行,,,,,,,,,,,,,
項番,入稿有無,公開日,問題,正解,URL,カテゴリ,タイトル,説明文,ヒント,解説文,締め,X投稿文,,
1,入稿済,2025/08/17,9 + 1 = 8,8 + 1 = 9,matchstick-quiz/article/1,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋1＝8？,マッチ棒1本だけを別の場所へ移動して、式「9＋1＝8」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,まず右側の数字を観察。その下半分に、動かせそうな“余裕のある1本”があります。見つけた1本を左側の数字に移すと形が整います。,"右の「8」から左下の縦1本を抜き、それを左の「9」の左下に移します。
よって式は 8＋1＝9 となり、正解です。",このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,"以下の仕様に従って、「読解クイズ」「数字クイズ」「ビジネスマナー」の3ジャンル×20問を作成し、TSV形式で出力してください。

【共通ルール】
1. 出力形式: TSV（タイトル, 説明文, ヒント, 解説文, 締め）
2. 問題数: 各ジャンル20問（「最終問題」等のメタな問題は作成せず、すべて通常問題にする）
3. 解説文の形式: 冒頭は必ず「正解：A. 〇〇」のように、選択肢記号と正解を記述してから改行し、解説本文を続けること。（「正解は〜です。」という文章にはしない）
4. 全ジャンル共通で、問題形式はA～Dの4択クイズ、またはそれに準ずる形式とする。

【ジャンル別仕様】
■1. 読解クイズ
・内容: 短編ストーリーを読み、文脈に合う接続詞や言葉を（　1　）等の空欄に埋める形式。
・タイトル: 必ず「【読解クイズ】」から始め、その後にユーザーを惹きつけるタイトルをつける。
・説明文: ストーリー本文と、設問（A～Dの選択肢）を含める。

■2. 数字クイズ
・内容: 以下の5つの計算ジャンルからランダムに作成する。
　- 濃度計算
　- 年齢算
　- 鶴亀算
　- 損益計算
　- 仕事算
・タイトル: 必ず冒頭にジャンル名をつける（例: 【濃度計算】食塩水の…）。
・形式: A～Dの4択問題。

■3. ビジネスマナー
・内容: PCスキル、Excel、敬語、冠婚葬祭などの社会人常識。
・タイトル: 簡潔で分かりやすく。
・形式: A～Dの4択問題。",
2,入稿済,2025/08/17,8 + 2 = 6,6 + 2 = 8,matchstick-quiz/article/2,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：8＋2＝6？,マッチ棒1本だけを別の場所へ移動して、式「8＋2＝6」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,左右どちらかの数字の「角」をチェック。／角の1本が別の数字の完成に使えます。,左の「8」から右上の縦1本（b）を抜き、右の「6」の右上（b）に移します。左は 8→6、右は 6→8。よって式は 6＋2＝8 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
3,入稿済,2025/10/03,8 + 3 = 5,6 + 3 = 9,matchstick-quiz/article/3,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：8＋3＝5？,マッチ棒1本だけを別の場所へ移動して、式「8＋3＝5」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,左の数字の「右上」に注目。／その1本を右辺へ活用すると桁が変わります。,左の「8」から右上の縦1本（b）を抜き、右の「5」の右上（b）に移します。左は 8→6、右は 5→9。よって式は 6＋3＝9 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
4,入稿済,2025/10/03,9 + 6 = 3,3 + 6 = 9,matchstick-quiz/article/4,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋6＝3？,マッチ棒1本だけを別の場所へ移動して、式「9＋6＝3」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,最初の数字の「左上」に注目。／その1本を右側へ渡すと答えが大きくなります。,左の「9」から左上の縦1本（f）を抜き、右の「3」の左上（f）に移します。左は 9→3、右は 3→9。よって式は 3＋6＝9 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
5,入稿済,2025/10/03,7 + 6 = 1,1 + 6 = 7,matchstick-quiz/article/5,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：7＋6＝1？,マッチ棒1本だけを別の場所へ移動して、式「7＋6＝1」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,最初の数字の「てっぺん」を確認。／その1本が右の細い数字を整えます。,左の「7」から上の横1本（a）を抜き、右の「1」の上（a）に移します。左は 7→1、右は 1→7。よって式は 1＋6＝7 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
6,入稿済,2025/10/03,9 + 1 = 7,8 − 1 = 7,matchstick-quiz/article/6,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋1＝7？,マッチ棒1本だけを別の場所へ移動して、式「9＋1＝7」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,記号の周りを観察。／「横一本の記号」にできないか考えてみて。,「＋」の縦棒を外して「−」にし、その1本を左の「9」の左下（e）に置きます。9→8。よって式は 8−1＝7 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
7,入稿済,2025/10/03,5 + 1 = 5,6 − 1 = 5,matchstick-quiz/article/7,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5＋1＝5？,マッチ棒1本だけを別の場所へ移動して、式「5＋1＝5」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,記号の形を要チェック。／縦と横の本数に注目。,「＋」の縦棒を外して「−」にし、その1本を左の「5」の左下（e）に置きます。5→6。よって式は 6−1＝5 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
8,入稿済,2025/10/03,5 + 2 = 4,6 − 2 = 4,matchstick-quiz/article/8,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5＋2＝4？,マッチ棒1本だけを別の場所へ移動して、式「5＋2＝4」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,記号をよく見る。／取り出した1本は左の数字の「左下」に活きます。,「＋」の縦棒を外して「−」にし、その1本を左の「5」の左下（e）に置きます。5→6。よって式は 6−2＝4 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
9,入稿済,2025/10/08,0 + 0 = 8,8 − 0 = 8,matchstick-quiz/article/9,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0＋0＝8？,マッチ棒1本だけを別の場所へ移動して、式「0＋0＝8」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,記号にヒントあり。／左の0の「真ん中」を意識してみて。,「＋」の縦棒を外して「−」にし、その1本を左の「0」の中央（g）に置きます。0→8。よって式は 8−0＝8 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
10,入稿済,2025/10/08,1 + 6 = 1,7 − 6 = 1,matchstick-quiz/article/10,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：1＋6＝1？,マッチ棒1本だけを別の場所へ移動して、式「1＋6＝1」を正しい等式に直してください。画像の中で“どの1本を動かすか”がポイントです。,記号を確認。／左の1の「上」にも注目。,「＋」の縦棒を外して「−」にし、その1本を左の「1」の上（a）に置きます。1→7。よって式は 7−6＝1 となり、正解です。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
